individual_id,tattoo,year,quarter,q_index,n_capture_rows,p_min,p_max,p_mean,p_range
136,006R,2004,2,8017,1,0.013775535,0.013775535,0.013775535,0
137,006S,2021,2,8085,1,0.001150377,0.001150377,0.001150377,0
137,006S,2021,3,8086,1,0.005701651,0.005701651,0.005701651,0
137,006S,2021,4,8087,1,0.01005164,0.01005164,0.01005164,0
138,006T,2017,2,8069,1,3.51e-7,3.51e-7,3.51e-7,0
138,006T,2017,3,8070,1,1.12e-6,1.12e-6,1.12e-6,0
138,006T,2017,4,8071,1,4.85e-6,4.85e-6,4.85e-6,0
138,006T,2018,1,8072,1,4.94e-5,4.94e-5,4.94e-5,0
138,006T,2018,2,8073,1,4.65e-4,4.65e-4,4.65e-4,0
138,006T,2018,3,8074,1,0.002528751,0.002528751,0.002528751,0
140,006V,2015,1,8060,1,0.138788787,0.138788787,0.138788787,0
141,006W,2005,2,8021,1,0.01599487,0.01599487,0.01599487,0
142,006X,2025,3,8102,1,0.006918778,0.006918778,0.006918778,0
142,006X,2025,4,8103,1,0.010789903,0.010789903,0.010789903,0
143,006Y,2007,2,8029,1,8.75e-5,8.75e-5,8.75e-5,0
143,006Y,2007,4,8031,1,9.45e-4,9.45e-4,9.45e-4,0
143,006Y,2008,1,8032,1,0.001807908,0.001807908,0.001807908,0
143,006Y,2008,2,8033,1,0.003218037,0.003218037,0.003218037,0
144,006Z,2019,2,8077,1,0.002607585,0.002607585,0.002607585,0
144,006Z,2019,3,8078,1,0.004240057,0.004240057,0.004240057,0
145,007A,2014,2,8057,1,0.167592542,0.167592542,0.167592542,0
145,007A,2014,3,8058,1,0.784754479,0.784754479,0.784754479,0
145,007A,2015,2,8061,1,0.801494383,0.801494383,0.801494383,0
145,007A,2016,2,8065,1,0.804216786,0.804216786,0.804216786,0
146,007B,2006,2,8025,1,3.74e-4,3.74e-4,3.74e-4,0
146,007B,2006,3,8026,1,7.94e-4,7.94e-4,7.94e-4,0
146,007B,2006,4,8027,2,0.007893875,0.007893875,0.007893875,0
147,007C,2016,2,8065,1,3.04e-7,3.04e-7,3.04e-7,0
147,007C,2016,3,8066,1,8.95e-7,8.95e-7,8.95e-7,0
147,007C,2016,4,8067,1,3.77e-6,3.77e-6,3.77e-6,0
147,007C,2017,1,8068,1,3.97e-5,3.97e-5,3.97e-5,0
147,007C,2017,3,8070,2,5.9e-4,5.9e-4,5.9e-4,0
147,007C,2017,4,8071,1,0.002160073,0.002160073,0.002160073,0
148,007D,2022,3,8090,2,3.9e-6,3.9e-6,3.9e-6,0
148,007D,2022,4,8091,1,1.89e-5,1.89e-5,1.89e-5,0
148,007D,2023,2,8093,1,4.86e-4,4.86e-4,4.86e-4,0
148,007D,2023,3,8094,1,0.001772336,0.001772336,0.001772336,0
149,007E,2013,2,8053,1,0.001689626,0.001689626,0.001689626,0
149,007E,2013,3,8054,1,0.004684587,0.004684587,0.004684587,0
150,007F,2010,2,8041,1,0.00184383,0.00184383,0.00184383,0
150,007F,2011,2,8045,1,0.044335211,0.044335211,0.044335211,0
150,007F,2013,2,8053,1,0.98796795,0.98796795,0.98796795,0
150,007F,2014,3,8058,1,1,1,1,0
151,007G,2003,2,8013,1,1.95e-6,1.95e-6,1.95e-6,0
151,007G,2003,4,8015,1,6.07e-6,6.07e-6,6.07e-6,0
151,007G,2004,2,8017,1,3.46e-5,3.46e-5,3.46e-5,0
151,007G,2004,3,8018,1,7.81e-5,7.81e-5,7.81e-5,0
151,007G,2005,3,8022,1,9.05e-4,9.05e-4,9.05e-4,0
151,007G,2006,3,8026,1,0.004327879,0.004327879,0.004327879,0
152,007H,2020,3,8082,2,3.83e-4,3.83e-4,3.83e-4,0
153,007J,2023,3,8094,1,0.00239348,0.00239348,0.00239348,0
154,007K,2012,2,8049,1,0.016947677,0.016947677,0.016947677,0
155,007L,2011,3,8046,1,0.00118629,0.00118629,0.00118629,0
155,007L,2011,4,8047,1,0.002817381,0.002817381,0.002817381,0
156,007M,2018,2,8073,1,8.85e-7,8.85e-7,8.85e-7,0
156,007M,2018,3,8074,2,3.15e-6,3.15e-6,3.15e-6,0
156,007M,2018,4,8075,1,8.77e-5,8.77e-5,8.77e-5,0
156,007M,2019,2,8077,1,0.002195487,0.002195487,0.002195487,0
156,007M,2019,3,8078,1,0.003322358,0.003322358,0.003322358,0
156,007M,2021,2,8085,1,0.057964463,0.057964463,0.057964463,0
157,007N,2009,2,8037,1,1.67e-4,1.67e-4,1.67e-4,0
157,007N,2009,3,8038,1,0.001107743,0.001107743,0.001107743,0
158,007P,2008,2,8033,1,0.003147182,0.003147182,0.003147182,0
158,007P,2008,4,8035,1,0.032529401,0.032529401,0.032529401,0
159,007Q,2024,2,8097,1,4.43e-6,4.43e-6,4.43e-6,0
159,007Q,2024,3,8098,1,2.44e-5,2.44e-5,2.44e-5,0
159,007Q,2024,4,8099,2,1.22e-4,1.22e-4,1.22e-4,0
160,007R,2004,2,8017,1,0.013775535,0.013775535,0.013775535,0
161,007S,2021,2,8085,1,0.001704394,0.001704394,0.001704394,0
161,007S,2021,3,8086,1,0.008447541,0.008447541,0.008447541,0
162,007T,2017,2,8069,1,1.53e-4,1.53e-4,1.53e-4,0
162,007T,2017,3,8070,1,4.87e-4,4.87e-4,4.87e-4,0
162,007T,2018,2,8073,1,0.007774814,0.007774814,0.007774814,0
164,007V,2015,2,8061,1,0.735773489,0.735773489,0.735773489,0
165,007W,2005,2,8021,1,0.003832652,0.003832652,0.003832652,0
165,007W,2005,3,8022,1,0.008324816,0.008324816,0.008324816,0
166,007X,2025,3,8102,1,0.002013243,0.002013243,0.002013243,0
167,007Y,2007,2,8029,1,1.73e-7,1.73e-7,1.73e-7,0
167,007Y,2007,3,8030,1,1.21e-6,1.21e-6,1.21e-6,0
167,007Y,2008,1,8032,1,5.21e-5,5.21e-5,5.21e-5,0
167,007Y,2008,2,8033,1,1.07e-4,1.07e-4,1.07e-4,0
167,007Y,2008,3,8034,1,0.001038817,0.001038817,0.001038817,0
