origin_SG,sigma_test,expected_same_SG,expected_neighbour_SG,expected_nonneighbour_SG,expected_peripheral,n_transitions,observed_same_SG,observed_neighbour_SG,observed_nonneighbour_SG,observed_peripheral,excess_same_SG,ratio_same_SG,excess_peripheral,ratio_peripheral
17,100,0.8084896622790557,0.18005930850405086,1.2091403199006465e-5,0.011438937813694377,178,0.8202247191011236,0.14606741573033707,0.011235955056179775,0.02247191011235955,0.01173505682206788,1.0145147889572117,0.011032972298665173,1.9645102087587893
17,150,0.6187505531092868,0.3515731357276562,0.002112718416627206,0.027563592746429798,178,0.8202247191011236,0.14606741573033707,0.011235955056179775,0.02247191011235955,0.20147416599183676,1.3256145226528007,-0.005091682634070248,0.81527507386606
18,60,0.7434490402074163,0.25634856321591976,0,2.0239657666389367e-4,99,0.7878787878787878,0.18181818181818182,0.030303030303030304,0,0.04442974767137153,1.059761658524673,-2.0239657666389367e-4,0
18,100,0.676745472704114,0.3172758110591759,1.6182624708959434e-4,0.005816889989620456,99,0.7878787878787878,0.18181818181818182,0.030303030303030304,0,0.11113331517467384,1.1642173012707593,-0.005816889989620456,0
18,150,0.5908261050212732,0.35792039316249225,0.011465068803157483,0.03978843301307707,99,0.7878787878787878,0.18181818181818182,0.030303030303030304,0,0.19705268285751465,1.3335206098424164,-0.03978843301307707,0
19,60,0.6753478104581342,0.32465218954186575,0,0,15,0.26666666666666666,0.7333333333333333,0,0,-0.4086811437914675,0.3948582678986826,0,NA
19,100,0.4702076074627135,0.5290890887428693,2.5813353465613138e-5,6.774904409515427e-4,15,0.26666666666666666,0.7333333333333333,0,0,-0.20354094079604684,0.5671253770342556,-6.774904409515427e-4,0
19,150,0.3366494491769727,0.6419267351443851,0.0032031057406669084,0.018220709937975206,15,0.26666666666666666,0.7333333333333333,0,0,-0.06998278251030604,0.7921197177616147,-0.018220709937975206,0
20,60,0.7270558224068961,0.0027824088072012023,0,0.2701617687859027,191,0.9424083769633508,0.015706806282722512,0.010471204188481676,0.031413612565445025,0.21535255455645463,1.2961981018782527,-0.23874815622045767,0.11627704655109668
20,100,0.5349170970890111,0.013014886331291942,6.510983526870086e-5,0.4520029067444282,191,0.9424083769633508,0.015706806282722512,0.010471204188481676,0.031413612565445025,0.40749127987433964,1.7617839887561724,-0.4205892941789832,0.06949869590818125
20,150,0.3892335902526043,0.027116684776787987,0.0025495603327767985,0.5811001646378309,191,0.9424083769633508,0.015706806282722512,0.010471204188481676,0.031413612565445025,0.5531747867107465,2.421189744574069,-0.5496865520723858,0.05405886020532015
21,60,0.8311955952336006,0.16866770068207296,1.3670408432643537e-4,0,103,0.9029126213592233,0.0970873786407767,0,0,0.0717170261256227,1.0862817687399646,0,NA
21,100,0.6611605049306535,0.331596333386678,0.0072431616826684865,0,103,0.9029126213592233,0.0970873786407767,0,0,0.24175211642856986,1.3656481514332535,0,NA
21,150,0.5416199895349346,0.41768472735356005,0.03811392255576304,0.0025813605557423996,103,0.9029126213592233,0.0970873786407767,0,0,0.3612926318242887,1.6670592644383655,-0.0025813605557423996,0
22,60,0.9925538310703836,0.007063134242659185,0,3.830346869572473e-4,166,0.8433734939759037,0.07228915662650602,0.012048192771084338,0.07228915662650602,-0.14918033709447998,0.8497005074942868,0.07190612193954878,188.72744189503294
22,100,0.8816009101536335,0.090585029118672,8.519980442327733e-4,0.026962062683461824,166,0.8433734939759037,0.07228915662650602,0.012048192771084338,0.07228915662650602,-0.038227416177729845,0.9566386380305936,0.0453270939430442,2.681143407876106
22,150,0.668753163883374,0.20239479136112037,0.01641853541913909,0.1124335093363665,166,0.8433734939759037,0.07228915662650602,0.012048192771084338,0.07228915662650602,0.17462033009252964,1.261113276950391,-0.040144352709860484,0.6429502828221707
