tattoo,primary,primary_year,SG_id,zone,Sett_Clean,x,y,n_loc_obs,entry_group
011E,38,2013,11,1,YEW,381619,201268,3,1
011E,39,2014,11,1,YEW,381619,201268,1,1
011F,35,2010,999,2,WINDSOREDGE,383635,200531,2,1
011G,28,2003,1,1,WEST,380190,201400,3,1
011G,29,2004,1,1,WEST,380190,201400,1,1
011G,30,2005,1,1,WEST,380190,201400,1,1
011K,37,2012,11,1,YEW,381619,201268,1,1
011L,36,2011,1,1,WEST,380190,201400,1,1
011M,43,2018,16,1,WOODRUSH,382713,200607,2,1
011M,44,2019,21,1,SCRUB,383045,200620,1,1
011N,34,2009,4,1,JUNCTION,380841,200432,1,1
011P,33,2008,15,1,KENNEL,382464,200922,2,1
011P,34,2009,15,1,KENNEL,382464,200922,1,1
011R,29,2004,4,1,ARTHURS,380534,200550,3,1
011R,30,2005,4,1,ARTHURS,380534,200550,1,1
011T,42,2017,11,1,YEW,381619,201268,3,1
011V,40,2015,4,1,JUNCTION,380841,200432,2,2
011W,30,2005,999,2,HOLLYWOOD,381353,199891,2,2
011Y,32,2007,15,1,WYCHELM,382074,201085,2,1
011Y,33,2008,15,1,WYCHELM,382074,201085,3,1
011Y,34,2009,15,1,POPLAR,382132,201047,2,1
011Y,35,2010,15,1,POPLAR,382132,201047,2,1
011Y,36,2011,15,1,WYCHELM,382074,201085,2,1
011Y,37,2012,15,1,WYCHELM,382074,201085,1,1
011Z,44,2019,4,1,JUNCTION,380841,200432,1,2
012A,39,2014,11,1,YEW,381619,201268,1,1
012B,31,2006,12,1,TOP,381795,200962,2,1
012B,32,2007,11,1,YEW,381619,201268,2,1
012B,33,2008,11,1,TAXUS,381737,201220,1,1
012B,34,2009,11,1,YEW,381619,201268,1,1
012C,41,2016,1,1,WEST,380190,201400,2,1
012C,42,2017,1,1,WEST,380190,201400,3,1
012E,38,2013,3,1,CHESNUT,380834,201150,1,1
012E,39,2014,3,1,BEECH,380931,201164,1,1
012E,40,2015,3,1,BEECH,380931,201164,1,1
012E,41,2016,3,1,CHESNUT,380834,201150,1,1
012E,42,2017,3,1,BEECH,380931,201164,1,1
012E,43,2018,3,1,BEECH,380931,201164,1,1
012E,44,2019,3,1,BEECH,380931,201164,1,1
012F,35,2010,8,1,HONEYWELL,381931,201706,2,1
012F,36,2011,8,1,HONEYWELL,381931,201706,2,1
012G,28,2003,11,1,TAXUS,381737,201220,2,1
012G,29,2004,12,1,TOP,381795,200962,2,1
012G,30,2005,12,1,TOP,381795,200962,1,1
012G,31,2006,999,2,HEDGE,381350,200278,1,1
012G,32,2007,999,2,HEDGE,381350,200278,1,1
012K,37,2012,15,1,KENNEL,382464,200922,1,1
012L,36,2011,5,1,JACKSMIREY,380678,200030,1,1
