interval_col,tattoo,from_year,to_year,from_primary,to_primary,from_detector_name,to_detector_name,from_x,from_y,to_x,to_y,observed_endpoint_distance_m,has_origin_xy,has_destination_xy
134,010F,2014,2015,39,40,39,40,380906,200398,381314,201301,990.8950499422227,TRUE,TRUE
135,010F,2015,2016,40,41,40,41,381314,201301,380936,199687,1657.6730678876338,TRUE,TRUE
136,010F,2016,2017,41,42,41,42,380936,199687,382786,200771,2144.191222815726,TRUE,TRUE
137,010F,2017,2018,42,43,42,43,382786,200771,381016,201635,1969.6182371210925,TRUE,TRUE
138,010N,2009,2010,34,35,34,35,383126,200958,383135,202599,1641.0246798875392,TRUE,TRUE
139,010N,2010,2011,35,36,35,36,383135,202599,381314,201015,2413.523772412445,TRUE,TRUE
140,010N,2011,2012,36,37,36,37,381314,201015,383237,202222,2270.4136187047507,TRUE,TRUE
141,010N,2012,2013,37,38,37,38,383237,202222,382076,201048,1651.119922961382,TRUE,TRUE
142,010P,2008,2009,33,34,33,34,382399,200920,383126,200958,727.9924450157433,TRUE,TRUE
143,010P,2009,2010,34,35,34,35,383126,200958,383135,202599,1641.0246798875392,TRUE,TRUE
144,010P,2010,2011,35,36,35,36,383135,202599,381314,201015,2413.523772412445,TRUE,TRUE
145,010P,2011,2012,36,37,36,37,381314,201015,383237,202222,2270.4136187047507,TRUE,TRUE
146,010P,2012,2013,37,38,37,38,383237,202222,382076,201048,1651.119922961382,TRUE,TRUE
147,010P,2013,2014,38,39,38,39,382076,201048,380906,200398,1338.43191832831,TRUE,TRUE
148,010P,2014,2015,39,40,39,40,380906,200398,381314,201301,990.8950499422227,TRUE,TRUE
149,010Y,2007,2008,32,33,32,33,380279,201409,382399,200920,2175.6656452681327,TRUE,TRUE
150,010Y,2008,2009,33,34,33,34,382399,200920,383126,200958,727.9924450157433,TRUE,TRUE
151,010Y,2009,2010,34,35,34,35,383126,200958,383135,202599,1641.0246798875392,TRUE,TRUE
152,010Y,2010,2011,35,36,35,36,383135,202599,381314,201015,2413.523772412445,TRUE,TRUE
153,010Y,2011,2012,36,37,36,37,381314,201015,383237,202222,2270.4136187047507,TRUE,TRUE
154,010Y,2012,2013,37,38,37,38,383237,202222,382076,201048,1651.119922961382,TRUE,TRUE
155,010Z,2019,2020,44,45,44,45,382420,201405,380583,201265,1842.3270610833463,TRUE,TRUE
156,010Z,2020,2021,45,46,45,46,380583,201265,382734,202283,2379.7321277824526,TRUE,TRUE
157,011B,2006,2007,31,32,31,32,380649,201388,380279,201409,370.59546678285204,TRUE,TRUE
158,011B,2007,2008,32,33,32,33,380279,201409,382399,200920,2175.6656452681327,TRUE,TRUE
159,011G,2003,2004,28,29,28,29,380834,201150,382049,201493,1262.4872276581652,TRUE,TRUE
160,011G,2004,2005,29,30,29,30,382049,201493,382931,200706,1182.0714868399457,TRUE,TRUE
161,011Y,2007,2008,32,33,32,33,380279,201409,382399,200920,2175.6656452681327,TRUE,TRUE
162,011Y,2008,2009,33,34,33,34,382399,200920,383126,200958,727.9924450157433,TRUE,TRUE
163,011Y,2009,2010,34,35,34,35,383126,200958,383135,202599,1641.0246798875392,TRUE,TRUE
164,011Y,2010,2011,35,36,35,36,383135,202599,381314,201015,2413.523772412445,TRUE,TRUE
165,011Y,2011,2012,36,37,36,37,381314,201015,383237,202222,2270.4136187047507,TRUE,TRUE
166,012B,2006,2007,31,32,31,32,380649,201388,380279,201409,370.59546678285204,TRUE,TRUE
167,012B,2007,2008,32,33,32,33,380279,201409,382399,200920,2175.6656452681327,TRUE,TRUE
