tattoo,year,n_year_encounters,n_distinct_setts,n_distinct_socg,annual_socg,annual_sett,annual_x,annual_y,annual_sett_n_encounters,annual_sett_latest_date,has_annual_xy,in_infection_model,in_phase2
004D,2022,4,2,2,WINDSOREDGE,WINDSOREDGE,383635,200531,3,2022-12-06,TRUE,TRUE,FALSE
004E,2013,3,2,2,TOP,TOP,381795,200962,2,2013-10-09,TRUE,TRUE,FALSE
004E,2014,3,3,2,TOP,WYCHELM,382074,201085,1,2014-06-03,TRUE,TRUE,FALSE
004F,2010,3,2,1,ARTHURS,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
004G,2003,1,1,1,HEDGE,HEDGE,381350,200278,1,2003-05-13,TRUE,TRUE,FALSE
004H,2020,2,2,1,LARCH,LARCH,380541,201242,1,2020-07-21,TRUE,TRUE,FALSE
004J,2023,2,2,1,KENNEL,KENNEL,382464,200922,1,2023-06-06,TRUE,TRUE,FALSE
004K,2012,2,1,1,JUNCTION,JUNCTION,380841,200432,2,2012-07-18,TRUE,TRUE,FALSE
004L,2011,2,1,1,INCHBROOK,INCHBROOK,384013,200739,2,2011-05-24,TRUE,TRUE,FALSE
004M,2018,1,1,1,ARTHURS,ARTHURS,380534,200550,1,2018-05-22,TRUE,TRUE,FALSE
004M,2019,1,1,1,ARTHURS,ARTHURS,380534,200550,1,2019-08-20,TRUE,TRUE,FALSE
004N,2009,1,1,1,JUNCTION,JUNCTION,380841,200432,1,2009-06-02,TRUE,TRUE,FALSE
004P,2008,1,1,1,JACKSMIREY,JACKSMIREY,380678,200030,1,2008-05-06,TRUE,TRUE,FALSE
004P,2009,1,1,1,JACKSMIREY,JACKSMIREY,380678,200030,1,2009-06-03,TRUE,TRUE,FALSE
004Q,2024,4,1,1,INCHBROOK,INCHBROOK,384013,200739,4,2024-12-10,TRUE,TRUE,FALSE
004Q,2025,1,1,1,INCHBROOK,INCHBROOK,384013,200739,1,2025-06-10,TRUE,TRUE,FALSE
004R,2004,1,1,1,PARKMILL,PARKMILL,383730,200924,1,2004-02-03,TRUE,TRUE,FALSE
004R,2005,1,1,1,PARKMILL,PARKMILL,383730,200924,1,2005-06-22,TRUE,TRUE,FALSE
004S,2021,3,1,1,CEDAR,CEDAR,381022,201589,3,2021-11-23,TRUE,TRUE,FALSE
004S,2022,2,2,1,CEDAR,CEDAR,381022,201589,1,2022-05-25,TRUE,TRUE,FALSE
004T,2017,1,1,1,PARKMILL,PARKMILL,383730,200924,1,2017-01-25,TRUE,TRUE,FALSE
004U,2026,1,1,1,NETTLE,LINSEED,383011,201367,1,2026-06-10,TRUE,TRUE,FALSE
004V,2015,1,1,1,HONEYWELL,HONEYWELL,381931,201706,1,2015-01-27,TRUE,TRUE,FALSE
004W,2005,3,2,1,JUNCTION,THISTLEWOODBANK,381109,200408,2,2005-12-13,TRUE,TRUE,TRUE
004W,2006,2,2,1,JUNCTION,JUNCTION,380841,200432,1,2006-12-13,TRUE,TRUE,TRUE
004W,2007,2,1,1,JUNCTION,THISTLEWOODBANK,381109,200408,2,2007-07-31,TRUE,TRUE,TRUE
004X,2025,3,1,1,WEST,WEST,380190,201400,3,2025-11-25,TRUE,TRUE,FALSE
004X,2026,2,2,2,BEECH,CHESNUT,380834,201150,1,2026-07-28,TRUE,TRUE,FALSE
004Y,2007,1,1,1,HEDGE,HEDGE,381350,200278,1,2007-05-09,TRUE,TRUE,FALSE
004Z,2019,4,1,1,INCHBROOK,INCHBROOK,384013,200739,4,2019-12-10,TRUE,TRUE,FALSE
004Z,2020,1,1,1,INCHBROOK,INCHBROOK,384013,200739,1,2020-09-01,TRUE,TRUE,FALSE
005A,2014,4,2,1,ARTHURS,ARTHURS,380534,200550,2,2014-12-10,TRUE,TRUE,FALSE
005A,2015,1,1,1,ARTHURS,MEAD,380390,200637,1,2015-07-14,TRUE,TRUE,FALSE
005B,2006,4,1,1,WEST,WEST,380190,201400,4,2006-12-12,TRUE,TRUE,FALSE
005B,2007,1,1,1,LARCH,BOX,380621,201409,1,2007-05-08,TRUE,TRUE,FALSE
005B,2008,1,1,0,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
005C,2016,2,1,1,WINDSOREDGE,WINDSOREDGE,383635,200531,2,2016-10-18,TRUE,TRUE,TRUE
005C,2017,1,1,1,WINDSOREDGE,WINDSOREDGE,383635,200531,1,2017-01-25,TRUE,TRUE,TRUE
005C,2018,1,1,1,WINDSOREDGE,WINDSOREDGE,383635,200531,1,2018-08-22,TRUE,TRUE,TRUE
005D,2022,3,1,1,INCHBROOK,INCHBROOK,384013,200739,3,2022-12-06,TRUE,TRUE,FALSE
005D,2023,2,1,1,INCHBROOK,INCHBROOK,384013,200739,2,2023-10-04,TRUE,TRUE,FALSE
005E,2013,3,2,2,TOP,TOP,381795,200962,2,2013-10-08,TRUE,TRUE,FALSE
005F,2010,1,1,1,ARTHURS,MEAD,380390,200637,1,2010-05-11,TRUE,TRUE,FALSE
005G,2003,1,1,1,HEDGE,HEDGE,381350,200278,1,2003-05-14,TRUE,TRUE,FALSE
005H,2020,3,3,1,LARCH,BOX,380621,201409,1,2020-11-25,TRUE,TRUE,FALSE
005H,2021,2,1,1,LARCH,LARCH,380541,201242,2,2021-07-27,TRUE,TRUE,FALSE
005J,2023,1,1,1,NETTLE,QUARRY,383188,201092,1,2023-07-18,TRUE,TRUE,FALSE
005J,2024,2,2,2,HONEYWELL,QUARRY,383188,201092,1,2024-06-11,TRUE,TRUE,FALSE
005J,2026,1,1,1,HONEYWELL,CHAIN,381946,201669,1,2026-07-28,TRUE,TRUE,FALSE
005K,2012,1,1,1,WEST,WEST,380190,201400,1,2012-05-29,TRUE,TRUE,FALSE
005L,2011,3,1,1,PARKMILL,PARKMILL,383730,200924,3,2011-10-04,TRUE,TRUE,TRUE
005L,2012,4,2,2,PARKMILL,PARKMILL,383730,200924,3,2012-10-16,TRUE,TRUE,TRUE
005L,2013,3,1,1,PARKMILL,PARKMILL,383730,200924,3,2013-10-23,TRUE,TRUE,TRUE
005L,2014,2,1,1,PARKMILL,PARKMILL,383730,200924,2,2014-09-10,TRUE,TRUE,TRUE
005M,2018,1,1,1,JACKSMIREY,JACKSMIREY,380678,200030,1,2018-05-23,TRUE,TRUE,FALSE
005M,2019,1,1,1,JACKSMIREY,JACKSMIREY,380678,200030,1,2019-08-20,TRUE,TRUE,FALSE
005M,2020,1,1,0,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
005N,2009,4,1,1,WEST,WEST,380190,201400,4,2009-12-15,TRUE,TRUE,TRUE
005N,2010,3,1,1,WEST,WEST,380190,201400,3,2010-12-14,TRUE,TRUE,TRUE
005N,2011,1,1,1,ARTHURS,MEAD,380390,200637,1,2011-05-03,TRUE,TRUE,TRUE
005P,2008,1,1,1,WEST,CARPARK,379814,201477,1,2008-05-07,TRUE,TRUE,TRUE
005P,2010,1,1,1,WEST,WEST,380190,201400,1,2010-09-07,TRUE,TRUE,TRUE
005Q,2024,1,1,1,INCHBROOK,INCHBROOK,384013,200739,1,2024-06-11,TRUE,TRUE,FALSE
005R,2004,1,1,1,NETTLE,NETTLE,383024,201142,1,2004-02-03,TRUE,TRUE,FALSE
005S,2021,4,1,1,HONEYWELL,HONEYWELL,381931,201706,4,2021-12-07,TRUE,TRUE,FALSE
005S,2022,1,1,0,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
005T,2017,3,2,1,LARCH,LARCH,380541,201242,2,2017-08-01,TRUE,TRUE,TRUE
005T,2018,4,2,1,LARCH,BOX,380621,201409,2,2018-10-30,TRUE,TRUE,TRUE
005T,2019,3,3,2,LARCH,WEST,380190,201400,1,2019-08-20,TRUE,TRUE,TRUE
005U,2026,1,1,1,SEPTICTANK,OLDPONDDRAIN,381503,201484,1,2026-07-29,TRUE,TRUE,FALSE
005V,2015,3,1,1,OLDOAK,OLDOAK,382624,201274,3,2015-09-08,TRUE,TRUE,FALSE
005W,2005,4,2,1,JUNCTION,THISTLEWOODBANK,381109,200408,3,2005-12-14,TRUE,TRUE,FALSE
