tattoo,date,year,quarter,Diagnostic model: fixed prevalence,Diagnostic model: annual prevalence,Diagnostic model: adjusted annual,All tests (fixed),All tests (inferred),Culture only (fixed)
E034,1988-10-18,1988,4,0.107280137099415,0.107280137099415,0.0304041412798923,1.1461743779224945e-7,2.8309700237431193e-16,0.011401812844566607
E034,1989-02-07,1989,1,0.107280137099415,0.107280137099415,0.0553616290696165,2.1839689063499275e-7,1.39456152985942e-15,0.01924889094008301
E034,1989-06-06,1989,2,0.107280137099415,0.107280137099415,0.0553616290696165,5.192166481354176e-7,6.655996653313438e-15,0.023032940207421932
E034,1989-08-15,1989,3,0.107280137099415,0.107280137099415,0.0553616290696165,7.718311695987973e-7,1.98476360966957e-14,0.024562882059162846
E034,1989-11-01,1989,4,0.107280137099415,0.107280137099415,0.0553616290696165,9.097759949130972e-7,5.236279531202915e-14,0.026576585043730706
E034,1990-02-07,1990,1,0.107280137099415,0.107280137099415,0.0528457603016671,1.6385774650310477e-6,2.309452350722106e-13,0.03498869900076246
E034,1990-10-30,1990,4,0.107280137099415,0.107280137099415,0.0528457603016671,5.0875905770184994e-6,2.2003537757559956e-12,0.042325715283953944
E034,1991-02-19,1991,1,0.107280137099415,0.107280137099415,0.0404473043515461,6.931673898282305e-6,4.713521992885229e-12,0.050451118023813975
E034,1991-06-18,1991,2,0.107280137099415,0.107280137099415,0.0404473043515461,1.2316978073580128e-5,1.8090529687295864e-11,0.05440242906197035
E034,1991-09-03,1991,3,0.107280137099415,0.107280137099415,0.0404473043515461,1.6855661582880876e-5,5.571537011726282e-11,0.056004996573908464
E034,1991-09-18,1991,3,0.107280137099415,0.107280137099415,0.0404473043515461,1.6855661582880876e-5,5.571537011726282e-11,0.056004996573908464
E034,1991-11-12,1991,4,0.107280137099415,0.107280137099415,0.0404473043515461,2.1235379892752868e-5,5.010585848305658e-10,0.058355081578441825
E034,1992-08-11,1992,3,0.107280137099415,0.107280137099415,0.0328406976078873,1.1516808615721798e-4,1.013445423479011e-8,0.07784888068811385
