tattoo,primary,origin_year,origin_SG,origin_zone,origin_sett,origin_x,origin_y,n_loc_obs,entry_group,next_primary,next_year,dest_x,dest_y,dest_SG,dest_zone,dest_sett,observed_category,observed_distance_m
012G,30,2005,12,1,TOP,381795,200962,1,1,31,2006,381350,200278,999,2,HEDGE,peripheral,816.0153184836666
012L,36,2011,5,1,JACKSMIREY,380678,200030,1,1,37,2012,380678,200030,5,1,JACKSMIREY,same_SG,0
012L,37,2012,5,1,JACKSMIREY,380678,200030,2,1,38,2013,380678,200030,5,1,JACKSMIREY,same_SG,0
012L,38,2013,5,1,JACKSMIREY,380678,200030,2,1,39,2014,380678,200030,5,1,JACKSMIREY,same_SG,0
012M,43,2018,15,1,KENNEL,382464,200922,1,1,44,2019,382464,200922,15,1,KENNEL,same_SG,0
012P,35,2010,16,1,WOODRUSH,382713,200607,1,1,36,2011,382464,200922,15,1,KENNEL,neighbour_SG,401.529575498493
012P,36,2011,15,1,KENNEL,382464,200922,1,1,37,2012,382713,200607,16,1,WOODRUSH,neighbour_SG,401.529575498493
012P,37,2012,16,1,WOODRUSH,382713,200607,2,1,38,2013,382464,200922,15,1,KENNEL,neighbour_SG,401.529575498493
012R,29,2004,2,1,BOX,380621,201409,3,1,30,2005,380621,201409,2,1,BOX,same_SG,0
012R,30,2005,2,1,BOX,380621,201409,1,1,31,2006,381016,201635,6,1,FOX,neighbour_SG,455.0835088200846
012R,31,2006,6,1,FOX,381016,201635,1,1,32,2007,381022,201589,6,1,CEDAR,same_SG,46.389654018972806
012Y,32,2007,15,1,WYCHELM,382074,201085,2,1,33,2008,382074,201085,15,1,WYCHELM,same_SG,0
013E,38,2013,11,1,YEW,381619,201268,2,1,39,2014,382132,201047,15,1,POPLAR,neighbour_SG,558.578553114958
013E,39,2014,15,1,POPLAR,382132,201047,1,1,40,2015,382132,201047,15,1,POPLAR,same_SG,0
013E,40,2015,15,1,POPLAR,382132,201047,1,1,41,2016,381737,201220,11,1,TAXUS,neighbour_SG,431.223839786253
013F,35,2010,8,1,HONEYWELL,381931,201706,2,1,36,2011,381931,201706,8,1,HONEYWELL,same_SG,0
013F,36,2011,8,1,HONEYWELL,381931,201706,3,1,37,2012,381931,201706,8,1,HONEYWELL,same_SG,0
013G,28,2003,3,1,CHESNUT,380834,201150,2,1,29,2004,380931,201164,3,1,BEECH,same_SG,98.00510190801293
013G,29,2004,3,1,BEECH,380931,201164,1,1,30,2005,380931,201164,3,1,BEECH,same_SG,0
013L,36,2011,3,1,BEECH,380931,201164,2,1,37,2012,380834,201150,3,1,CHESNUT,same_SG,98.00510190801293
013M,43,2018,15,1,KENNEL,382464,200922,2,1,44,2019,382399,200920,15,1,CULDESAC,same_SG,65.03076195155643
013N,34,2009,3,1,BEECH,380931,201164,1,1,35,2010,380834,201150,3,1,CHESNUT,same_SG,98.00510190801293
013N,35,2010,3,1,CHESNUT,380834,201150,2,1,36,2011,380931,201164,3,1,BEECH,same_SG,98.00510190801293
013N,36,2011,3,1,BEECH,380931,201164,1,1,37,2012,380931,201164,3,1,BEECH,same_SG,0
013P,33,2008,15,1,KENNEL,382464,200922,2,1,34,2009,382464,200922,15,1,KENNEL,same_SG,0
013P,34,2009,15,1,KENNEL,382464,200922,1,1,35,2010,382464,200922,15,1,KENNEL,same_SG,0
013Y,32,2007,21,1,COLLIERSWOOD,382931,200706,3,1,33,2008,382931,200706,21,1,COLLIERSWOOD,same_SG,0
013Y,33,2008,21,1,COLLIERSWOOD,382931,200706,2,1,34,2009,382931,200706,21,1,COLLIERSWOOD,same_SG,0
013Z,44,2019,1,1,WEST,380190,201400,1,1,45,2020,380190,201400,1,1,WEST,same_SG,0
014A,39,2014,7,1,BREAKHEART,381370,201620,1,1,40,2015,381370,201620,7,1,BREAKHEART,same_SG,0
